TransactionNo,Items,DateTime,Daypart,DayType,User,Rating,overview
1303,Coffee,2016-11-14 12:00:22,Afternoon,Weekday,Herman,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1303,Kids biscuit,2016-11-14 12:00:22,Afternoon,Weekday,Lauren,0,"Miniature biscuits designed with fun shapes and flavors to appeal to children, perfect for lunchboxes or snacks."
1303,Muffin,2016-11-14 12:00:22,Afternoon,Weekday,Cody,1,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1304,Pastry,2016-11-14 12:05:23,Afternoon,Weekday,Karen,0,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
1305,Coffee,2016-11-14 12:08:51,Afternoon,Weekday,Tyler,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1305,Keeping It Local,2016-11-14 12:08:51,Afternoon,Weekday,Tammy,5,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors."
1306,Bread,2016-11-14 12:20:23,Afternoon,Weekday,Kirk,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1306,Sandwich,2016-11-14 12:20:23,Afternoon,Weekday,Erin,3,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1306,Tea,2016-11-14 12:20:23,Afternoon,Weekday,Anthony,1,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1307,Fudge,2016-11-14 12:22:39,Afternoon,Weekday,Amanda,0,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts."
1307,Fudge,2016-11-14 12:22:39,Afternoon,Weekday,Felix,1,"Dense, sweet confections made from sugar, butter, and milk or cream, often flavored with chocolate or nuts."
1307,Bread,2016-11-14 12:22:39,Afternoon,Weekday,Howard,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1307,Truffles,2016-11-14 12:22:39,Afternoon,Weekday,Barry,1,"Decadent chocolate confections made from ganache rolled in cocoa powder, nuts, or other coatings, perfect for indulgent treats or gifts."
1308,Sandwich,2016-11-14 12:28:32,Afternoon,Weekday,Vivian,4,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1308,Coffee,2016-11-14 12:28:32,Afternoon,Weekday,Herman,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1309,Coffee,2016-11-14 12:29:09,Afternoon,Weekday,Christian,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1309,Tea,2016-11-14 12:29:09,Afternoon,Weekday,Renee,3,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1309,Truffles,2016-11-14 12:29:09,Afternoon,Weekday,Adam,1,"Decadent chocolate confections made from ganache rolled in cocoa powder, nuts, or other coatings, perfect for indulgent treats or gifts."
1310,Bread,2016-11-14 12:39:12,Afternoon,Weekday,Luis,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1311,Sandwich,2016-11-14 12:41:02,Afternoon,Weekday,Jacqueline,4,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1311,Coffee,2016-11-14 12:41:02,Afternoon,Weekday,Craig,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1311,Tea,2016-11-14 12:41:02,Afternoon,Weekday,Justin,5,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1313,Coffee,2016-11-14 12:52:11,Afternoon,Weekday,Cecilia,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1314,Sandwich,2016-11-14 13:03:24,Afternoon,Weekday,Linda,3,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1314,Bread,2016-11-14 13:03:24,Afternoon,Weekday,Leslie,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1315,Hearty & Seasonal,2016-11-14 13:09:13,Afternoon,Weekday,Claudia,5,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
1315,Hearty & Seasonal,2016-11-14 13:09:13,Afternoon,Weekday,Amy,3,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
1315,Alfajores,2016-11-14 13:09:13,Afternoon,Weekday,Jessie,4,"Traditional South American cookies made from delicate shortbread filled with dulce de leche or jam, often coated in powdered sugar or dipped in chocolate."
1315,Truffles,2016-11-14 13:09:13,Afternoon,Weekday,Jessie,5,"Decadent chocolate confections made from ganache rolled in cocoa powder, nuts, or other coatings, perfect for indulgent treats or gifts."
1316,Frittata,2016-11-14 13:14:17,Afternoon,Weekday,Mitchell,0,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
1316,Muffin,2016-11-14 13:14:17,Afternoon,Weekday,Seth,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1316,Coffee,2016-11-14 13:14:17,Afternoon,Weekday,Josh,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1316,Coffee,2016-11-14 13:14:17,Afternoon,Weekday,Melinda,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1317,Sandwich,2016-11-14 13:19:14,Afternoon,Weekday,Kristina,2,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1317,Hot chocolate,2016-11-14 13:19:14,Afternoon,Weekday,Darlene,5,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
1317,Coffee,2016-11-14 13:19:14,Afternoon,Weekday,Jill,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1317,Hearty & Seasonal,2016-11-14 13:19:14,Afternoon,Weekday,Lydia,4,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
1317,Cookies,2016-11-14 13:19:14,Afternoon,Weekday,Pamela,0,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread."
1318,Bread,2016-11-14 13:20:35,Afternoon,Weekday,Neil,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1318,Bread,2016-11-14 13:20:35,Afternoon,Weekday,Harold,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1318,Sandwich,2016-11-14 13:20:35,Afternoon,Weekday,Jacqueline,0,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1319,Farm House,2016-11-14 13:35:47,Afternoon,Weekday,Ruth,3,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
1320,Coffee,2016-11-14 13:36:40,Afternoon,Weekday,Gregory,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1320,Muffin,2016-11-14 13:36:40,Afternoon,Weekday,Paul,2,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1321,Scandinavian,2016-11-14 13:38:42,Afternoon,Weekday,Clarence,0,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
1321,Bread,2016-11-14 13:38:42,Afternoon,Weekday,Jaclyn,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1322,Sandwich,2016-11-14 13:41:26,Afternoon,Weekday,Billy,4,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1322,Soup,2016-11-14 13:41:26,Afternoon,Weekday,Martin,2,"Warm, comforting soups served alongside cakes for a satisfying meal."
1322,Coffee,2016-11-14 13:41:26,Afternoon,Weekday,Isabella,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1322,Tea,2016-11-14 13:41:26,Afternoon,Weekday,Gregory,2,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1323,Farm House,2016-11-14 13:45:05,Afternoon,Weekday,Tasha,0,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
1324,Coffee,2016-11-14 13:49:16,Afternoon,Weekday,Sally,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1324,Tea,2016-11-14 13:49:16,Afternoon,Weekday,Hugh,1,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1325,Soup,2016-11-14 14:01:15,Afternoon,Weekday,Miranda,4,"Warm, comforting soups served alongside cakes for a satisfying meal."
1325,Jam,2016-11-14 14:01:15,Afternoon,Weekday,Evelyn,4,"A sweet spread made from fruits, commonly used in cake fillings, adding fruity flavors and moisture."
1325,Muffin,2016-11-14 14:01:15,Afternoon,Weekday,Hugh,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1325,Coffee,2016-11-14 14:01:15,Afternoon,Weekday,Billy,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1326,Bread,2016-11-14 14:02:19,Afternoon,Weekday,Casey,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1327,Coffee,2016-11-14 14:06:07,Afternoon,Weekday,Raymond,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1327,Soup,2016-11-14 14:06:07,Afternoon,Weekday,Ray,4,"Warm, comforting soups served alongside cakes for a satisfying meal."
1328,Coffee,2016-11-14 14:41:15,Afternoon,Weekday,Nicholas,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1328,Coffee,2016-11-14 14:41:15,Afternoon,Weekday,Neil,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1328,Muffin,2016-11-14 14:41:15,Afternoon,Weekday,Sabrina,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1329,Bread,2016-11-14 14:43:40,Afternoon,Weekday,Norman,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1329,Muffin,2016-11-14 14:43:40,Afternoon,Weekday,Alfred,1,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1329,Kids biscuit,2016-11-14 14:43:40,Afternoon,Weekday,Owen,5,"Miniature biscuits designed with fun shapes and flavors to appeal to children, perfect for lunchboxes or snacks."
1330,Coffee,2016-11-14 15:02:36,Afternoon,Weekday,Stefan,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1330,Bread,2016-11-14 15:02:36,Afternoon,Weekday,Martha,1,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1331,Coffee,2016-11-14 15:14:46,Afternoon,Weekday,Josh,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1332,Muffin,2016-11-14 15:29:08,Afternoon,Weekday,Jacob,5,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1333,Ella's Kitchen Pouches,2016-11-14 15:34:10,Afternoon,Weekday,Allan,2,"Convenient, portable snacks for infants and toddlers, offering a variety of pureed fruits and vegetables."
1333,Bread,2016-11-14 15:34:10,Afternoon,Weekday,Douglas,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1333,Muffin,2016-11-14 15:34:10,Afternoon,Weekday,Dustin,5,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1334,Soup,2016-11-14 15:40:05,Afternoon,Weekday,Cliff,3,"Warm, comforting soups served alongside cakes for a satisfying meal."
1334,Sandwich,2016-11-14 15:40:05,Afternoon,Weekday,Christine,5,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1334,Frittata,2016-11-14 15:40:05,Afternoon,Weekday,Malcolm,5,"Italian egg-based dishes similar to omelets, often filled with vegetables, cheese, and meats."
1335,Bread,2016-11-14 15:42:20,Afternoon,Weekday,Gretchen,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1335,Sandwich,2016-11-14 15:42:20,Afternoon,Weekday,Beverly,1,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1336,Coffee,2016-11-14 15:56:19,Afternoon,Weekday,Matthew,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1336,Bread,2016-11-14 15:56:19,Afternoon,Weekday,Renee,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1336,Coffee,2016-11-14 15:56:19,Afternoon,Weekday,Julian,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1336,Bread,2016-11-14 15:56:19,Afternoon,Weekday,Jordan,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1336,Cookies,2016-11-14 15:56:19,Afternoon,Weekday,Melissa,5,"Bite-sized baked treats with endless variations, from chewy chocolate chip to delicate shortbread."
1337,Bread,2016-11-14 16:08:48,Afternoon,Weekday,Nicole,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1337,Art Tray,2016-11-14 16:08:48,Afternoon,Weekday,Cody,5,"Edible art pieces made from cake, icing, and decorative elements, perfect for special occasions and celebrations."
1337,Tea,2016-11-14 16:08:48,Afternoon,Weekday,Michael,1,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1337,Hot chocolate,2016-11-14 16:08:48,Afternoon,Weekday,Patsy,0,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
1338,Art Tray,2016-11-14 16:11:32,Afternoon,Weekday,Christian,0,"Edible art pieces made from cake, icing, and decorative elements, perfect for special occasions and celebrations."
1338,Coffee,2016-11-14 16:11:32,Afternoon,Weekday,Miranda,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1338,Hot chocolate,2016-11-14 16:11:32,Afternoon,Weekday,Marvin,1,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
1338,Juice,2016-11-14 16:11:32,Afternoon,Weekday,Cecilia,2,Refreshing fruit or vegetable juices served alongside cakes to provide a burst of flavor and hydration.
1338,Muffin,2016-11-14 16:11:32,Afternoon,Weekday,Stuart,0,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1339,Hot chocolate,2016-11-14 16:26:53,Afternoon,Weekday,Jacqueline,1,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
1339,Coffee,2016-11-14 16:26:53,Afternoon,Weekday,Andrew,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1340,Farm House,2016-11-14 17:12:26,Evening,Weekday,Kathleen,4,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
1341,Farm House,2016-11-14 18:17:07,Evening,Weekday,Jonathan,3,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
1341,Muffin,2016-11-14 18:17:07,Evening,Weekday,Joyce,2,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1342,Coffee,2016-11-15 07:42:27,Morning,Weekday,Emma,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1342,Medialuna,2016-11-15 07:42:27,Morning,Weekday,Arthur,4,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
1343,Bread,2016-11-15 08:14:31,Morning,Weekday,Cecilia,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1343,Keeping It Local,2016-11-15 08:14:31,Morning,Weekday,Wendy,0,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors."
1344,Coffee,2016-11-15 09:02:19,Morning,Weekday,Sonya,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1345,Bread,2016-11-15 09:07:38,Morning,Weekday,Harry,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1346,Medialuna,2016-11-15 09:13:22,Morning,Weekday,Brent,1,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
1346,Tea,2016-11-15 09:13:22,Morning,Weekday,Priscilla,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1346,Coffee,2016-11-15 09:13:22,Morning,Weekday,Jerry,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1347,Hot chocolate,2016-11-15 09:16:53,Morning,Weekday,Ryan,3,"Though not a cake in the traditional sense, hot chocolate complements cakes well, offering a warm and indulgent beverage often topped with whipped cream or marshmallows."
1348,Coffee,2016-11-15 09:17:58,Morning,Weekday,Anthony,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1349,Coke,2016-11-15 09:19:02,Morning,Weekday,Jaclyn,5,A popular carbonated beverage often served alongside cakes to provide a sweet and fizzy contrast.
1350,Coffee,2016-11-15 09:23:39,Morning,Weekday,Ron,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1351,Farm House,2016-11-15 09:36:13,Morning,Weekday,Andrew,1,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
1352,Coffee,2016-11-15 10:01:55,Morning,Weekday,Erin,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1352,Coffee,2016-11-15 10:01:55,Morning,Weekday,Tommy,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1352,Keeping It Local,2016-11-15 10:01:55,Morning,Weekday,Bonnie,3,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors."
1352,Bread,2016-11-15 10:01:55,Morning,Weekday,Tabitha,5,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1353,Coffee,2016-11-15 10:07:20,Morning,Weekday,Steven,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1353,Truffles,2016-11-15 10:07:20,Morning,Weekday,Lucy,0,"Decadent chocolate confections made from ganache rolled in cocoa powder, nuts, or other coatings, perfect for indulgent treats or gifts."
1354,Coffee,2016-11-15 10:09:45,Morning,Weekday,Ann,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1355,Coffee,2016-11-15 10:18:15,Morning,Weekday,Natalie,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1355,Tea,2016-11-15 10:18:15,Morning,Weekday,Faith,0,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1355,Keeping It Local,2016-11-15 10:18:15,Morning,Weekday,Ann,4,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors."
1356,Coffee,2016-11-15 10:46:13,Morning,Weekday,Marlene,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1356,Keeping It Local,2016-11-15 10:46:13,Morning,Weekday,Greg,0,"Cakes made with locally sourced ingredients, supporting community farmers and producers while offering fresh and seasonal flavors."
1357,Coffee,2016-11-15 10:49:21,Morning,Weekday,Fred,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1357,Tea,2016-11-15 10:49:21,Morning,Weekday,Robin,4,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1358,Coffee,2016-11-15 10:52:23,Morning,Weekday,Gordon,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1359,Coffee,2016-11-15 11:02:54,Morning,Weekday,Doris,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1360,Coffee,2016-11-15 11:04:23,Morning,Weekday,Kathleen,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1360,Bread,2016-11-15 11:04:23,Morning,Weekday,Willie,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1361,Coffee,2016-11-15 11:06:29,Morning,Weekday,Thomas,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1362,Bread,2016-11-15 11:10:30,Morning,Weekday,Derek,0,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1363,Farm House,2016-11-15 11:15:32,Morning,Weekday,Gertrude,0,"Rustic cakes reminiscent of farmhouse baking, featuring simple, wholesome ingredients like oats, nuts, and dried fruits."
1364,Coffee,2016-11-15 11:37:16,Morning,Weekday,Evan,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1364,Kids biscuit,2016-11-15 11:37:16,Morning,Weekday,Ella,2,"Miniature biscuits designed with fun shapes and flavors to appeal to children, perfect for lunchboxes or snacks."
1365,Tea,2016-11-15 11:41:36,Morning,Weekday,James,4,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1365,Muffin,2016-11-15 11:41:36,Morning,Weekday,Yvonne,3,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1366,Bread,2016-11-15 11:43:28,Morning,Weekday,Cody,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1367,Coffee,2016-11-15 11:44:22,Morning,Weekday,George,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1367,Pastry,2016-11-15 11:44:22,Morning,Weekday,Gerald,0,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
1368,Scandinavian,2016-11-15 11:51:10,Morning,Weekday,Lynn,0,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
1368,Coffee,2016-11-15 11:51:10,Morning,Weekday,Steve,3,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1368,Soup,2016-11-15 11:51:10,Morning,Weekday,Jason,1,"Warm, comforting soups served alongside cakes for a satisfying meal."
1369,Scandinavian,2016-11-15 11:56:51,Morning,Weekday,Alicia,2,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
1369,Pastry,2016-11-15 11:56:51,Morning,Weekday,Trina,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
1369,Muffin,2016-11-15 11:56:51,Morning,Weekday,Philip,4,"Individual-sized quick breads, often sweetened and flavored with fruits, nuts, or chocolate chips."
1370,Coffee,2016-11-15 12:00:24,Afternoon,Weekday,Amber,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1370,Pastry,2016-11-15 12:00:24,Afternoon,Weekday,Floyd,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
1371,Soup,2016-11-15 12:08:55,Afternoon,Weekday,Ricardo,3,"Warm, comforting soups served alongside cakes for a satisfying meal."
1371,Hearty & Seasonal,2016-11-15 12:08:55,Afternoon,Weekday,Emma,0,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
1371,Tea,2016-11-15 12:08:55,Afternoon,Weekday,Elijah,3,"Cakes perfect for pairing with a cup of tea, offering a balance of sweetness and lightness."
1372,Bread,2016-11-15 12:13:28,Afternoon,Weekday,Noah,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1372,Scandinavian,2016-11-15 12:13:28,Afternoon,Weekday,Ralph,1,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
1373,Scandinavian,2016-11-15 12:18:46,Afternoon,Weekday,Gail,2,"Reflecting the flavors of Northern Europe, Scandinavian cakes often feature berries, nuts, and wholesome grains."
1373,Bread,2016-11-15 12:18:46,Afternoon,Weekday,Maria,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1373,Truffles,2016-11-15 12:18:46,Afternoon,Weekday,Malcolm,5,"Decadent chocolate confections made from ganache rolled in cocoa powder, nuts, or other coatings, perfect for indulgent treats or gifts."
1374,Coffee,2016-11-15 12:20:36,Afternoon,Weekday,Margaret,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1374,Coffee,2016-11-15 12:20:36,Afternoon,Weekday,Donald,1,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1374,Soup,2016-11-15 12:20:36,Afternoon,Weekday,Anita,3,"Warm, comforting soups served alongside cakes for a satisfying meal."
1375,Medialuna,2016-11-15 12:22:24,Afternoon,Weekday,Rebecca,3,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
1375,Medialuna,2016-11-15 12:22:24,Afternoon,Weekday,Tim,4,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
1376,Coffee,2016-11-15 12:28:25,Afternoon,Weekday,Erica,2,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1376,Coffee,2016-11-15 12:28:25,Afternoon,Weekday,Willie,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1376,Medialuna,2016-11-15 12:28:25,Afternoon,Weekday,Ellis,5,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
1376,Medialuna,2016-11-15 12:28:25,Afternoon,Weekday,Jacob,2,"A crescent-shaped pastry originating from Argentina, often sweetened and glazed."
1376,Bread,2016-11-15 12:28:25,Afternoon,Weekday,Theresa,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1377,Bread,2016-11-15 12:36:12,Afternoon,Weekday,Seth,3,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1378,Coffee,2016-11-15 12:37:47,Afternoon,Weekday,Arthur,0,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1378,Bread,2016-11-15 12:37:47,Afternoon,Weekday,Shelly,2,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1379,Soup,2016-11-15 12:50:18,Afternoon,Weekday,Noelle,5,"Warm, comforting soups served alongside cakes for a satisfying meal."
1379,Sandwich,2016-11-15 12:50:18,Afternoon,Weekday,Rita,1,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1380,Sandwich,2016-11-15 13:02:04,Afternoon,Weekday,Michael,4,"Layers of bread filled with meats, cheeses, vegetables, and condiments, offering a portable and satisfying meal option."
1380,Hearty & Seasonal,2016-11-15 13:02:04,Afternoon,Weekday,Brittany,5,"Cakes made with seasonal ingredients and hearty flavors, perfect for cooler weather or holiday celebrations."
1380,Coffee,2016-11-15 13:02:04,Afternoon,Weekday,Willie,4,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1381,Soup,2016-11-15 13:02:39,Afternoon,Weekday,Barbara,4,"Warm, comforting soups served alongside cakes for a satisfying meal."
1382,Bread,2016-11-15 13:11:28,Afternoon,Weekday,Jacqueline,4,"A staple food made from flour, water, and yeast, often baked until golden brown with a soft interior."
1383,Soup,2016-11-15 13:16:42,Afternoon,Weekday,Catherine,4,"Warm, comforting soups served alongside cakes for a satisfying meal."
1383,Coffee,2016-11-15 13:16:42,Afternoon,Weekday,Ralph,5,"Cakes infused with the rich flavor of coffee, providing a delightful combination of sweetness and caffeine."
1383,Pastry,2016-11-15 13:16:42,Afternoon,Weekday,Gretchen,5,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
1384,Pastry,2016-11-15 13:17:11,Afternoon,Weekday,Lucy,2,"Delicate, flaky pastries filled with sweet or savory ingredients, ranging from fruit to cheese and meats."
